Entity,suicide_rate,Gini coefficient,Continent,Population
Abkhazia,0,0,,0
Afghanistan,136.91,0,Asia,8508536429
Africa,270.8263,0,,2.89356E+11
Africa (UN),0,0,,2.68855E+11
Akrotiri and Dhekelia,0,0,,35110
Aland Islands,0,0,,0
Albania,113.81,3.4335474,Europe,467927291
Algeria,66.68,1.03140694,Africa,7200256862
American Samoa,0,0,Oceania,5247908
Americas,165.18,0,,0
Andorra,0,0,Europe,9589142
Angola,296.7564,1.4594451400000001,Africa,8225481681
Anguilla,0,0,North America,1794892
Antarctica,0,0,,0
Antigua and Barbuda,13.145999999999999,0,North America,17803390
Argentina,175.7099,0,South America,6848700116
Argentina - urban,0,14.661086150000001,,0
Armenia,81.86,7.14469272,Asia,498902309
Aruba,0,0,North America,12117813
Asia,0,0,,7.60788E+11
Asia (UN),0,0,,6.15424E+11
Australia,211.669,4.02086264,Oceania,4212293441
Austria,249.6466,6.59511607,Europe,2020117440
Austria-Hungary,0,0,,0
Azerbaijan,84.81,1.7639226399999999,Asia,1546564440
Baden,0,0,,0
Bahamas,64.8,0,North America,59152589
Bahrain,153.71,0,Asia,198792969
Bangladesh,96.96,2.46360242,Asia,26658636113
Barbados,16.849,0,North America,61066005
Bavaria,0,0,,0
Belarus,572.2846,6.8974308099999995,Europe,1972123302
Belgium,322.543,6.4335637199999995,Europe,2533109955
Belize,150.6834,4.03904494,North America,61809464
Benin,281.04540000000003,1.67582422,Africa,3007688326
Bermuda,0,0,North America,8178960
Bhutan,112.66,1.55239506,Asia,144187908
Bolivia,145.63,10.71940993,South America,2103377140
Bolivia - urban,0,0.9114577500000001,,0
Bonaire Sint Eustatius and Saba,0,0,,3217244
Bosnia and Herzegovina,168.35,1.30095713,Europe,701169431
Botswana,658.8496,2.93518141,Africa,413111900
Bouvet Island,0,0,Antarctica,0
Brazil,105.53,20.34958163,South America,29553236462
British Indian Ocean Territory,0,0,Asia,0
British Virgin Islands,0,0,North America,3842828
Brunei,39.17,0,Asia,56156066
Bulgaria,179.8272,7.11480609,Europe,1517227753
Burkina Faso,313.7416,2.63679568,Africa,4657205698
Burundi,319.0232,1.4763502,Africa,2816086687
Cambodia,125.53999999999999,0,Asia,2649050268
Cameroon,375.0151,1.76044487,Africa,6020246036
Canada,208.4177,5.96310177,North America,6354241795
Cape Verde,351.8866,1.42064775,Africa,99776428
Cayman Islands,0,0,North America,8081818
Central African Republic,550.4454,1.17567357,Africa,1403090677
Chad,302.8771,1.20644937,Africa,4205521552
Channel Islands,0,0,,0
Chile,196.9021,7.59263755,South America,2844293966
China,199.6053,7.5066216,Asia,2.30249E+11
China - rural,0,6.7906896,,0
China - urban,0,6.3751966300000005,,0
Christmas Island,0,0,Asia,0
Cocos Islands,0,0,,0
Colombia,85.12,11.845646760000001,South America,7046943485
Colombia - urban,0,2.1714436,,0
Comoros,182.0344,1.01259755,Africa,147037348
Congo,320.9305,0.9626920999999999,Africa,1210748941
Cook Islands,0,0,Oceania,2784128
Costa Rica,133.45,16.167999860000002,North America,678190185
Cote d'Ivoire,391.448,4.42984106,,5855465279
Croatia,264.8733,5.22650131,Europe,899740461
Cuba,224.5345,0,North America,1704691620
Curacao,0,0,,26610618
Cyprus,68.249,5.19647623,Asia,206108131
Czechia,238.9672,5.17211711,Europe,2827766413
Czechoslovakia,0,0,,1141815000
Democratic Republic of Congo,266.4948,0.8426333800000001,,25416763490
Denmark,195.9827,5.5762705299999995,Europe,1232066562
Djibouti,238.2604,1.70847156,Africa,161419361
Dominica,0,0,North America,14577192
Dominican Republic,112.89,12.40565156,North America,1562255082
East Germany,0,0,,102723000
East Timor,86.71000000000001,0.92411536,,239096795
Eastern Mediterranean,139.91,0,,0
Ecuador,185.6601,10.39557256,South America,2627216490
Ecuador - urban,0,1.5111406500000002,,0
Egypt,72.32,2.79683359,Africa,18789537783
El Salvador,139.49,11.55173759,North America,928499063
Equatorial Guinea,299.7155,0,Africa,300501314
Eritrea,403.2683,0,Africa,743255714
Estonia,354.0596,7.69139533,Europe,290792671
Eswatini,1138.5704,2.19600647,Africa,205698308
Ethiopia,263.2359,1.72510886,Africa,25192947698
Ethiopia (former),0,0,,1529528000
Ethiopia - rural,0,0.32424957,,0
Europe,297.9223,0,,1.57035E+11
Europe (UN),0,0,,1.02303E+11
European Union (27),0,0,,95984356094
Falkland Islands,0,0,South America,505771
Faroe Islands,0,0,Europe,8100908
Fiji,205.8677,1.45881108,Oceania,157939567
Finland,331.3799,5.63504377,Europe,1107640483
France,265.8829,6.80828097,Europe,14929714642
French Guiana,0,0,South America,58014726
French Polynesia,0,0,Oceania,39594093
French Southern Territories,0,0,,0
Gabon,312.2894,0.8020936000000001,Africa,446548451
Gambia,216.2378,1.75338354,Africa,505701314
Georgia,141.95,9.50509385,Asia,866336443
Germany,189.6529,8.45298466,Europe,18634793048
Ghana,238.3004,2.78512595,Africa,6023091485
Gibraltar,0,0,Europe,4308057
Greece,62.79,6.56899309,Europe,2035502056
Greenland,0,0,North America,7642283
Grenada,34.683,0,North America,25422131
Guadeloupe,0,0,North America,58255213
Guam,0,0,Oceania,24052091
Guatemala,193.7392,2.74881508,North America,2796765537
Guernsey,0,0,Europe,8980933
Guinea,234.2001,2.3860583,Africa,2772650274
Guinea-Bissau,300.3219,1.6460944400000002,Africa,412240464
Guyana,756.0089,0.4511814,South America,150185336
Haiti,242.3521,1.00580394,North America,1900569620
Hanover,0,0,,0
Heard Island and McDonald Islands,0,0,Antarctica,0
Hesse Electoral,0,0,,0
Hesse Grand Ducal,0,0,,0
High-income,234.1907,0,,0
High-income countries,0,0,,2.24697E+11
Honduras,61.75,16.17195315,North America,1572194104
Honduras - urban,0,0.5509303,,0
Hong Kong,0,0,Asia,935409711
Hungary,366.3215,7.80310316,Europe,2355229764
Iceland,242.3342,4.17118254,Europe,61724586
India,310.6207,4.10953468,Asia,2.30897E+11
India - rural,0,3.69971599,,0
India - urban,0,4.46353275,,0
Indonesia,60.58,10.36565603,Asia,41505272077
Indonesia - rural,0,8.47303705,,0
Indonesia - urban,0,10.80988105,,0
Iran,123.88,5.87800349,Asia,12324431586
Iraq,104.43,0.58142468,Asia,8247218570
Ireland,216.242,7.29207916,Europe,1546444280
Isle of Man,0,0,Europe,11671531
Israel,112.59,8.7738393,Asia,1521201256
Italy,99.01,8.27346182,Europe,12483807040
Jamaica,40.92,2.98190718,North America,421670160
Japan,340.7663,0.99797365,Asia,22694660916
Jersey,0,0,Europe,16835537
Jordan,47.39,2.52884663,Asia,1540008013
Kazakhstan,611.3411,6.08670054,Asia,3750585632
Kenya,244.9914,2.32781309,Africa,9428718735
Kiribati,649.8999,0.64805705,Oceania,24932622
Korea (former),0,0,,0
Kosovo,0,3.48118753,,228405511
Kuwait,52.04,0,Asia,523709269
Kyrgyzstan,254.6107,6.7699558699999995,Asia,1226270468
Laos,141.19,2.11952337,Asia,1195042434
Latin America and the Caribbean (UN),0,0,,85952177056
Latvia,404.05830000000003,7.9548166899999995,Europe,484013160
Lebanon,57.99,0.3183245,Asia,736061759
Lesotho,1550.0741,2.15711052,Africa,378659746
Liberia,165.79,1.04981088,Africa,1028967263
Libya,104.33,0,Africa,1010566956
Liechtenstein,0,0,Europe,6767361
Lithuania,646.247,8.3330184,Europe,657766595
Low-income,230.6214,0,,0
Low-income countries,0,0,,1.55687E+11
Lower-middle-income,243.519,0,,0
Lower-middle-income countries,0,0,,5.79861E+11
Luxembourg,205.4874,6.86924896,Europe,125526421
Macao,0,0,Asia,97953379
Madagascar,202.7416,3.42618659,Africa,5953945167
Malawi,288.2718,2.34342483,Africa,4244436772
Malaysia,109.99,5.501683,Asia,4689422553
Maldives,70.78,1.40255528,Asia,66949086
